copyCreationTime,captureTime,touchTime,id_global,grayscale,aperture,flashFired,focalLength,isoSpeedRating,shutterSpeed,Temperature,Tint,currTemp,currTint
-63113817600,2023-06-09T20:54:30.13,741426607.2,4A28220F-024E-4637-80ED-B4533578AFEB,0,3.61471,1,125.0,1000,7.321928,5000,12,5496,6
-63113817600,2022-06-10T13:02:12.98,741426606.5,05A76E40-9B2C-40FD-95D4-EF976598640C,0,2.970854,0,40.0,320,7.965784,3150,9,3730,12
-63113817600,2023-04-08T17:32:52.04,741426606.9,35844446-9880-44B3-9489-2FEC5C7A3F7E,0,2.0,0,58.0,1250,12.965784,5300,18,4925,17
-63113817600,2023-01-14T22:41:48.52,741426606.8,10F7C552-211B-4D2A-B5A9-AE89CA471F10,0,3.356144,1,35.0,2500,8.321928,5282,24,4978,11
-63113817600,2023-10-14T15:19:02,741426607.8,59B525CD-A83C-4BBF-A16C-FFAF03EC4C1D,0,3.356144,0,35.0,100,9.965784,5600,7,5256,11
-63113817600,2019-11-17T18:33:49.81,741426606.3,420FD19F-A144-47D4-AE21-3E9754AA6599,0,2.0,0,85.0,3200,10.965784,5250,4,5184,7
-63113817600,2023-05-20T18:42:28.64,741426607.0,0E7927BC-3BBD-4944-9881-1257008CCC58,0,2.970854,1,55.0,320,6.321928,3200,4,4362,-1
-63113817600,2023-06-03T16:15:18.38,741426607.1,4C31447A-4871-4B73-B2B4-0E9E48C45711,0,5.310704,0,70.0,400,7.321928,4650,0,5424,9
-63113817600,2024-01-21T11:48:20.93,741426614.4,547D4043-1BD5-47D0-98A9-112423E5E814,0,2.970854,0,35.0,4000,7.321928,4450,4,6942,2
-63113817600,2023-09-16T19:11:36.48,741426607.7,1CDE6C4A-1491-4AE3-A04B-61216F49BC0B,0,2.643856,1,50.0,320,7.643856,5200,20,4679,18
-63113817600,2023-03-28T15:09:34,741426606.9,13E9F417-8A6B-408D-9E3D-D3B4534C2EC1,0,2.275007,0,85.0,400,8.643856,4600,14,5576,11
-63113817600,2024-01-14T15:29:53.61,741426608.0,10C89B92-A473-4BB3-B0A4-C55AD70AFD5D,0,2.0,1,47.0,320,7.965784,4450,-1,6317,4
-63113817600,2023-05-28T20:28:28.03,741426607.1,3F3CFB37-F3DA-4A43-B18C-378D79BAAB5C,0,3.356144,0,24.0,800,8.321928,7800,5,7264,2
-63113817600,2022-06-04T18:56:31,741426606.4,237FAAB9-02CD-46D9-98C0-3115E4FAF51E,0,2.970854,0,70.0,200,8.965784,5250,10,5287,11
-63113817600,2023-04-18T18:44:43.34,741426606.9,322BDD3B-B708-4016-B708-80A74C437994,0,6.918863,0,85.0,400,6.321928,5682,5,4840,0
-63113817600,2023-05-27T16:42:53.55,741426614.3,5EFD5960-9450-43A0-9406-19A514970946,0,0.970854,0,85.0,250,7.643856,3000,-6,3772,-4
-63113817600,2022-03-19T18:30:44.14,741426606.4,537B1DE7-89DB-4325-9801-C2C6DEAF0C08,0,2.0,0,58.0,1600,11.965784,5750,2,6173,5
-63113817600,2023-06-09T20:26:57.00,741426607.2,08C1AC01-AB2E-4577-992B-6542EFF49968,0,2.970854,1,180.0,1000,7.321928,4950,15,5496,6
-63113817600,2023-01-07T18:24:34.34,741426606.8,3937CC22-F203-4557-B032-BC71E133F6A4,0,4.643856,1,35.0,250,11.965784,4332,2,4541,13
-63113817600,2022-10-16T16:07:37.50,741426606.7,4AC20EC9-F3D4-4B45-BB9B-8858D2AF59E2,0,3.356144,0,50.0,500,7.965784,5008,17,5023,19
-63113817600,2022-06-11T12:27:03.03,741426606.5,43DB9F5A-40E6-4194-BCF4-DEB945D52D5F,0,1.695994,0,85.0,100,8.643856,4850,7,5048,3
